id,name,phone,email,lat,lng,url,address,category_name
123,Defining Solutions,+14034529614,info@definingsolutions.ca,51.0480896,-114.0666789,http://www.definingsolutions.ca/,"3300 Bow Valley Square 2, 205 5 Ave SW, Calgary, AB T2P 3G6, Canada","Therapists,Psychologists,Mental Hospitals,Counselors,Mental health services"
234,The Art of Tarot,+14036901399,,51.0380317,-114.0831967,,"924 17 Ave SW, Calgary, AB T2T 0A4, Canada","Artists,Counselors,Performing arts groups,Day spas,Entertainers,Fortune telling,Therapists,Meditation instructors,Spa and health clubs"
345,Brenda Duncan Counselling,+14038747690,BRENDA.DUNCAN@SHAW.CA,51.068055,-114.0644366,http://brendaduncancounselling.com/,"132 17 Ave NW, Calgary, AB T2M 0M6, Canada","Marriage Consultants,Therapists,Counselors,Psychotherapists"
456,Dr. Karen Brust,+14032347444,acupunctureplusclinic@gmail.com,50.9739354,-114.0972927,http://www.drkarenbrust.ca/,"1600 90 Ave SW, Calgary, AB T2V 5A8, Canada","Massage therapists,Alternative medicine,Therapists,Acupuncture,Chiropractors"
567,Grit Psychology & Counselling Calgary,+14035887639,info@gritpsychology.com,51.094150,-114.011570,http://www.gritpsychology.com/,"2000 Pegasus Rd NE, Calgary, AB T2E 8K7","Psychologists,Counselling"
678,Virtuous Circle Counselling,+14037970660,info@vccounselling.com,51.129410,-114.204090,https://vccounselling.com,"600 Crowfoot Crescent NW #340, Calgary, AB T3G 0B4",Counseling
789,Living Well Counselling Services,+14036957911,info@livingwellcounselling.ca,51.094830,-114.062830,https://livingwellcounselling.ca/,"4803 Centre St NW #4, Calgary, AB T2E 2Z6","Counseling,Therapists,Psychologists"
890,Through the Woods Psychology,+14039847922,info@throughthewoods.ca/,50.901500,-114.057010,http://www.throughthewoods.ca/,"40 Sunpark Plaza SE #218, Calgary, AB T2X 3X7","Alternative medicine,Therapists"
901,The Divine Mine South Location,+14032799555,info@hdivinemine.com,50.950950,-114.002530,http://www.divinemine.com/,"11566 24 St SE, Calgary, AB T2Z 3V7","Fortune telling,Meditation instructors"
012,Pamela Dais Nichol,+14038046001,info@pameladaisnichol.com/,51.0913536,-114.153751,http://www.pameladaisnichol.com/,"4625 Varsity Dr NW #150, Calgary, AB T3A 0Z9","Fortune telling,Meditation instructors,Entertainers"
098,Cheryle Cote Holistic Healing,+14038011582,info@cherylecote.com/,50.942011,-114.114064,https://www.cherylecote.com/,"Woodlands SW, Calgary, AB T2W 2T4","Alternative medicine,Holistic Healing"
987,Inspired Soul Sessions,+15875838005,info@inspiredsoulsessions.com,50.867671,-113.983065,https://www.inspiredsoulsessions.com/,"703 Cranston Ave SE, Calgary, AB T3M 2J5",Counseling
876,Calgary Muscle and Soft Tissue Clinic,+14037641400,info@cmstc.ca,51.0065882,-114.1309699,https://www.cmstc.ca/,"10 Richard Way SW #21, Calgary, AB T3E 7M9","Massage therapists,Acupuncture,Chiropractors"
765,Breathe Massage Therapy & Total Body Health,+14034573060,info@breathespa.ca/,51.047825,-114.079735,https://www.breathespa.ca/,"717 7 Ave SW #120, Calgary, AB T2P 0Z3","Day spas,Massage therapists"
654,Country Hills Massage Therapy,+14035472243,info@ountryhillsmassage.com,51.137906,-114.15871,http://countryhillsmassage.com/,"5149 Country Hills Blvd NW #336, Calgary, AB T3A 5K8","Massage therapists,Acupuncture"
543,The Acupuncture And Health Centre,+14032533103,info@acupuncturehealthcalgary.com,50.939519,-114.057122,http://acupuncturehealthcalgary.com/,"12427 Bonaventure Dr SE #202, Calgary, AB T2J 3N8","Acupuncture clinics,Chiropractors"
432,Contrast Healthcare and Acupuncture,+14039236268,info@contrasthealth.ca,51.081259,-114.014725,https://www.contrasthealth.ca/,"1935 32 Ave NE Suite #210, Calgary, AB T2E 7C8","Alternative medicine,Therapists,Acupuncture,Chiropractors,Meditation instructors"
321,Simply Counselling Services,+15872267584,info@simplycounsellingservices.com/,51.141903,-114.072493,http://www.simplycounsellingservices.com/,"70 Country Hills Landing NW suite 108, Calgary, AB T3K 2L2","Marriage Consultants,Therapists,Counselors"
210,Master's Counselling,+14032537135,info@masterscounselling.com/,50.980954,-114.070039,https://www.masterscounselling.com/,"8180 Macleod Trail SE, Calgary, AB T2H 2B8","Psychologists,Counselling"
109,Virtuous Circle Counselling,+15878568369,info@vccounselling.com,51.0106376,-114.126331,https://vccounselling.com,"4838 Richard Rd SW Suite 300, Calgary, AB T3E 6L1","Counselors,Mental health services"
135,Calgary Reconnect Counselling Group,+14038150271,info@calgaryreconnect.com,51.0672215,-114.1005881,https://calgaryreconnect.com/,"1716 16 Ave NW Suite 420, Calgary, AB T2M 0L7","Marriage Consultants,Therapists,Counselors"
246,NewVista Psychology & Calgary Counselling Services,+15872003248,info@newvistapsychology.com/,50.990834,-114.072369,http://www.newvistapsychology.com/,"7015 Macleod Trail SW Suite # 400, Calgary, AB T2H 2K6","Therapists,Psychologists,Mental Hospitals"
357,Calgary Couples Counselling Centre Inc.,+14032558577,info@calgarycouplescounselling.com,51.006416,-114.04503,https://www.calgarycouplescounselling.com/,"1209 59 Ave SE Suite 200, Calgary, AB T2H 2P6","Marriage Consultants,Therapists"
468,Brahma Kumaris Meditation Centre,+14032092988,info@brahmakumaris.ca/,51.106739,-113.965528,https://calgary.brahmakumaris.ca/,"7 Westwinds Crescent NE #210, Calgary, AB T3J 5H2","Meditation instructors,Spa and health clubs,Day spas"
579,Healing and Health Center,+14032011514,info@reikihealinggrace.com/,50.899951133920965, -114.11761868753047,http://www.reikihealinggrace.com/,"16969 24 St SW #3401, Calgary, AB T2Y 0L2","Meditation instructors,Spa and health clubs,Day spas"
680,Breathe Hot Yoga & Massage,+14032769642,info@breathehotyoga.ca,50.91486417841587, -113.95678907403554,http://www.breathehotyoga.ca/,"142 McKenzie Towne Link SE #210, Calgary, AB T2Z 1H1","Meditation instructors,Spa and health clubs,Massage therapists"
791,Calgary Centre for Spiritual Living,+14032448728,info@algarycsl.org,51.013271,-114.055485,https://calgarycsl.org/,"4411 Manitoba Rd SE, Calgary, AB T2G 4B9",Holistic Healing
802,Akshobya Kadampa Buddhist Centre,+14034547595,info@meditateincalgary.org,51.052599,-114.109215,https://meditateincalgary.org/,"2120 Kensington Rd NW, Calgary, AB T2N 3R7",Holistic Healing
913,Virtuous Circle Counselling,+14037970660,info@vccounselling.com,51.129725898522175, -114.20399681635253,https://vccounselling.com,"600 Crowfoot Crescent NW #340, Calgary, AB T3G 0B4","Marriage Consultants,Counselors,Psychotherapists"
024,Assured Psychology,+14039107677,info@assuredpsychology.com,51.05501807369002, -114.0951146875951,http://www.assuredpsychology.com/,"301 14 St NW Office #303, Calgary, AB T2N 2A1","Psychotherapists,Psychologists"
